skillId,owners,luaEvidenceCount,skillFound,timelineFound,bundleCandidateCount,bundleExistsCount,unityLoadSuccess,unityLoadFail,timelinePrefabCandidateCount,loadableEffectPrefabCount,prefabDependencyCount,unresolvedReason
1001401,enemy:1100131;enemy:1100132;enemy:1100133,0,False,False,0,0,0,0,0,0,0,bundle_candidates_missing_or_path_normalize_unresolved
1001403,enemy:1100131;enemy:1100132;enemy:1100133,0,False,False,0,0,0,0,0,0,0,bundle_candidates_missing_or_path_normalize_unresolved
1002101,our:1002,2,True,True,1,1,1,0,4,17,2,
1002201,our:1002,2,True,True,2,1,1,1,4,17,2,
1002301,our:1002,2,True,True,2,1,1,1,4,17,5,
1012101,enemy:1100111;enemy:1100112;enemy:1100113;enemy:1100121;enemy:1100122;enemy:1100123;enemy:1100131;enemy:1100131;enemy:1100132;enemy:1100132;enemy:1100133;enemy:1100133,2,True,True,1,1,1,0,4,18,1,
1012201,enemy:1100111;enemy:1100112;enemy:1100113;enemy:1100121;enemy:1100122;enemy:1100123,2,True,True,2,1,1,1,4,18,5,
1012301,enemy:1100111;enemy:1100112;enemy:1100113;enemy:1100121;enemy:1100122;enemy:1100123,2,True,True,2,1,1,1,4,18,3,
1012401,enemy:1100111;enemy:1100112;enemy:1100113;enemy:1100121;enemy:1100122;enemy:1100123,0,False,False,0,0,0,0,0,0,0,bundle_candidates_missing_or_path_normalize_unresolved
1012403,enemy:1100111;enemy:1100112;enemy:1100113;enemy:1100121;enemy:1100122;enemy:1100123,0,False,False,0,0,0,0,0,0,0,bundle_candidates_missing_or_path_normalize_unresolved
1034101,our:1034,2,True,True,1,1,1,0,4,16,1,
1034201,our:1034,2,True,True,2,1,1,1,4,16,4,
1034301,our:1034,2,True,True,2,1,1,1,4,16,4,
1034401,our:1034,0,False,False,0,0,0,0,0,0,0,bundle_candidates_missing_or_path_normalize_unresolved
1034402,our:1034,2,False,False,0,0,0,0,0,0,0,bundle_candidates_missing_or_path_normalize_unresolved
1036101,our:1036,2,True,True,1,1,1,0,4,17,2,
1036201,our:1036,2,True,True,2,1,1,1,4,17,2,
1036301,our:1036,2,True,True,2,1,1,1,4,17,5,
1036401,our:1036,0,False,False,0,0,0,0,0,0,0,bundle_candidates_missing_or_path_normalize_unresolved
1036402,our:1036,2,False,False,0,0,0,0,0,0,0,bundle_candidates_missing_or_path_normalize_unresolved
